label,precision,recall,f1-score,support
Surprise,0.8929765886287625,0.8115501519756839,0.8503184713375797,329.0
Fear,0.6231884057971014,0.581081081081081,0.6013986013986014,74.0
Disgust,0.6225165562913907,0.5875,0.6045016077170418,160.0
Happiness,0.957092819614711,0.9223628691983122,0.9394069617533305,1185.0
Sadness,0.8266129032258065,0.8577405857740585,0.8418891170431212,478.0
Anger,0.8223684210526315,0.7716049382716049,0.7961783439490446,162.0
Neutral,0.8023715415019763,0.8955882352941177,0.846421125781793,680.0
accuracy,0.8608213820078227,0.8608213820078227,0.8608213820078227,0.8608213820078227
macro avg,0.7924467480160543,0.7753468373706941,0.7828734612829303,3068.0
weighted avg,0.8629791982111177,0.8608213820078227,0.8608689816440548,3068.0
