label,precision,recall,f1-score,support
Surprise,0.8706624605678234,0.8389057750759878,0.8544891640866873,329.0
Fear,0.6619718309859155,0.6351351351351351,0.6482758620689655,74.0
Disgust,0.5923566878980892,0.58125,0.5867507886435331,160.0
Happiness,0.9402985074626866,0.9569620253164557,0.9485570890840652,1185.0
Sadness,0.8442622950819673,0.8619246861924686,0.8530020703933747,478.0
Anger,0.8931297709923665,0.7222222222222222,0.7986348122866894,162.0
Neutral,0.8409742120343839,0.8632352941176471,0.8519593613933236,680.0
accuracy,0.8689700130378096,0.8689700130378096,0.8689700130378096,0.8689700130378096
macro avg,0.8062365378604619,0.7799478768657023,0.7916670211366628,3068.0
weighted avg,0.868504410221667,0.8689700130378096,0.8681440092930713,3068.0
