tsne_1,tsne_2,validation_position,dataset_index,label_id,label,experiment
-13.109854,30.308287,0,6639,0,Surprise,pretrained_ce
-16.949472,23.447447,2,258,0,Surprise,pretrained_ce
23.95464,-0.24962525,5,3345,3,Happiness,pretrained_ce
-18.033018,-17.073097,7,7618,4,Sadness,pretrained_ce
47.732414,5.7429886,10,3292,3,Happiness,pretrained_ce
9.368587,23.840393,11,5775,3,Happiness,pretrained_ce
31.484161,10.183832,17,3943,3,Happiness,pretrained_ce
-10.2162,29.876747,18,715,0,Surprise,pretrained_ce
24.68526,-9.195797,19,4799,3,Happiness,pretrained_ce
-12.407813,28.10388,21,2864,0,Surprise,pretrained_ce
6.765513,29.325926,23,7625,0,Surprise,pretrained_ce
-13.266468,-2.1741922,26,4014,5,Anger,pretrained_ce
-38.683193,8.089098,32,10388,6,Neutral,pretrained_ce
-18.502195,23.072384,33,9597,2,Disgust,pretrained_ce
-18.451817,-33.257668,34,4669,4,Sadness,pretrained_ce
5.9638524,3.5806038,36,8888,3,Happiness,pretrained_ce
-24.745707,8.725963,37,11190,6,Neutral,pretrained_ce
-18.197353,-22.4455,39,8091,4,Sadness,pretrained_ce
22.197973,0.13978851,41,2363,3,Happiness,pretrained_ce
46.289124,-7.9696093,42,932,3,Happiness,pretrained_ce
-21.361841,7.618088,43,11319,6,Neutral,pretrained_ce
21.861687,3.5959442,44,1770,3,Happiness,pretrained_ce
1.6770302,-7.1654677,46,9449,2,Disgust,pretrained_ce
14.188028,-10.627093,50,3842,0,Surprise,pretrained_ce
43.801918,-6.0854654,51,7480,3,Happiness,pretrained_ce
43.06564,-10.830994,52,2554,3,Happiness,pretrained_ce
-3.5737722,-13.991675,57,1791,2,Disgust,pretrained_ce
-18.31276,-11.165853,58,8566,4,Sadness,pretrained_ce
-3.2580225,3.9678037,60,11785,6,Neutral,pretrained_ce
-31.799625,5.1885448,63,10410,6,Neutral,pretrained_ce
-17.829357,17.16733,65,7973,5,Anger,pretrained_ce
-6.872029,-0.37953746,66,9168,1,Fear,pretrained_ce
3.125694,-7.9672933,67,3289,3,Happiness,pretrained_ce
-24.615114,4.998078,68,12235,6,Neutral,pretrained_ce
-17.987312,-35.033604,70,6721,4,Sadness,pretrained_ce
1.6088337,5.335966,71,287,4,Sadness,pretrained_ce
44.775352,-4.0966916,73,3253,3,Happiness,pretrained_ce
40.592213,2.6783028,75,546,3,Happiness,pretrained_ce
32.081284,-15.869562,76,2892,3,Happiness,pretrained_ce
-22.312853,6.984328,77,9987,6,Neutral,pretrained_ce
-12.645287,-31.818401,78,4161,4,Sadness,pretrained_ce
-5.916706,8.225481,79,10297,6,Neutral,pretrained_ce
-17.814974,-2.335518,82,9972,6,Neutral,pretrained_ce
19.793022,1.3342984,87,2245,3,Happiness,pretrained_ce
-18.028648,-15.739509,88,6494,4,Sadness,pretrained_ce
-34.412285,12.535761,89,12040,6,Neutral,pretrained_ce
-6.368573,-10.533171,90,10046,6,Neutral,pretrained_ce
-29.921131,-7.572999,93,6045,4,Sadness,pretrained_ce
-9.84064,-8.585733,94,9725,2,Disgust,pretrained_ce
-24.481222,-0.063204736,95,11042,6,Neutral,pretrained_ce
-8.842128,24.241074,96,4833,0,Surprise,pretrained_ce
-16.688316,-29.811243,97,8242,4,Sadness,pretrained_ce
45.761345,1.5797794,100,4164,3,Happiness,pretrained_ce
-37.8377,11.544301,101,10835,6,Neutral,pretrained_ce
-14.0086565,24.701769,102,9,0,Surprise,pretrained_ce
19.83364,-18.261982,104,1286,4,Sadness,pretrained_ce
43.608894,-0.073462375,105,3264,3,Happiness,pretrained_ce
-18.578043,0.42899984,107,11950,6,Neutral,pretrained_ce
45.58889,-9.544458,109,939,3,Happiness,pretrained_ce
-0.5988601,-10.57692,111,8736,5,Anger,pretrained_ce
-16.036133,-34.669838,112,2614,4,Sadness,pretrained_ce
45.463093,-0.90187013,118,6159,3,Happiness,pretrained_ce
36.345272,-11.429027,119,4454,3,Happiness,pretrained_ce
41.784595,-7.341268,121,3386,3,Happiness,pretrained_ce
-8.745823,23.616663,122,8065,0,Surprise,pretrained_ce
28.158936,-19.13165,123,8631,3,Happiness,pretrained_ce
8.559075,26.619154,124,6679,5,Anger,pretrained_ce
-18.375774,-18.333994,125,4535,4,Sadness,pretrained_ce
-12.384021,4.8008857,126,10022,6,Neutral,pretrained_ce
-30.066765,8.481961,127,11603,6,Neutral,pretrained_ce
8.786447,29.040066,129,4389,5,Anger,pretrained_ce
-14.5994,35.46775,132,1144,0,Surprise,pretrained_ce
7.874435,26.724112,133,8276,3,Happiness,pretrained_ce
2.4423435,19.597565,134,9305,1,Fear,pretrained_ce
-17.98508,-27.674107,135,7326,4,Sadness,pretrained_ce
33.834778,-7.310769,137,2003,3,Happiness,pretrained_ce
-14.170179,3.7267938,138,11069,6,Neutral,pretrained_ce
32.886158,-4.6980696,139,2346,3,Happiness,pretrained_ce
-15.322504,-29.915468,141,1250,4,Sadness,pretrained_ce
-36.193817,3.7038789,142,10101,6,Neutral,pretrained_ce
48.7623,-5.2548466,145,5605,3,Happiness,pretrained_ce
44.507484,-5.5091863,146,8070,3,Happiness,pretrained_ce
-19.399818,-32.75996,147,7314,4,Sadness,pretrained_ce
