label,precision,recall,f1-score,support
Surprise,0.813953488372093,0.7446808510638298,0.7777777777777778,329.0
Fear,0.723404255319149,0.4594594594594595,0.5619834710743802,74.0
Disgust,0.5391304347826087,0.3875,0.4509090909090909,160.0
Happiness,0.8854515050167224,0.8936708860759494,0.8895422091558168,1185.0
Sadness,0.7248908296943232,0.694560669456067,0.7094017094017094,478.0
Anger,0.6463414634146342,0.654320987654321,0.6503067484662577,162.0
Neutral,0.7090216010165185,0.8205882352941176,0.7607361963190185,680.0
accuracy,0.7809647979139505,0.7809647979139505,0.7809647979139505,0.7809647979139505
macro avg,0.7203133682308641,0.6649687270005348,0.6858081718720073,3068.0
weighted avg,0.7790688845946411,0.7809647979139505,0.7775335599693527,3068.0
