label,precision,recall,f1-score,support
Surprise,0.7259887005649718,0.7811550151975684,0.7525622254758418,329.0
Fear,0.5,0.28378378378378377,0.3620689655172414,74.0
Disgust,0.37058823529411766,0.39375,0.38181818181818183,160.0
Happiness,0.9037800687285223,0.8877637130801688,0.8957002979991485,1185.0
Sadness,0.7008733624454149,0.6715481171548117,0.6858974358974359,478.0
Anger,0.6832298136645962,0.6790123456790124,0.6811145510835913,162.0
Neutral,0.7357440890125174,0.7779411764705882,0.7562544674767692,680.0
accuracy,0.7669491525423728,0.7669491525423728,0.7669491525423728,0.7669491525423728
macro avg,0.6600291813871629,0.6392791644808477,0.6450594464668872,3068.0
weighted avg,0.7666657298459316,0.7669491525423728,0.7657543700679423,3068.0
